City,Country Code,Lat,Lng,Temperature (F),Humidity (%),Wind Speed (mph),Cloudiness (%)
Baiima,SL,8.11,-11.85,83.11,34,8.3,0
Port Hardy,CA,50.7,-127.42,41,44,11.41,20
Farafangana,MG,-22.82,47.83,76.67,100,7.29,32
Hambantota,LK,6.12,81.12,77,100,3.6,20
Abu Dhabi,AE,24.47,54.37,64.4,48,9.17,0
Morros,BR,-2.87,-44.04,78.8,88,10.29,75
Kieta,PG,-6.22,155.63,80.23,97,1.92,68
Mount Isa,AU,-20.73,139.49,68,77,2.24,0
Verkhnyaya Inta,RU,65.99,60.32,0.49,71,3.94,68
Asyut,EG,27.18,31.19,53.6,46,10.29,0
Buchanan,LR,5.88,-10.05,80.6,83,5.73,36
Havoysund,NO,71,24.66,15.78,78,20.8,90
Sembabule,UG,-0.08,31.46,63.58,90,3.04,12
La Asuncion,EC,-1.64,-78.74,55.3,89,1.14,64
Hami,CN,42.84,93.51,30.64,47,4.72,44
Mangaldai,IN,26.43,92.03,66.2,82,6.93,75
Tondano,ID,1.3,124.91,69.8,100,2.24,20
Grand Gaube,MU,-20.01,57.66,78.6,78,1.12,20
Teguise,ES,29.06,-13.56,64.4,68,13.87,75
Oistins,BB,13.07,-59.53,80.6,69,19.46,40
Esperance,TT,10.24,-61.45,82.56,100,13.87,20
Glasgow,GB,55.86,-4.24,37.99,86,6.93,36
Vanavara,RU,60.35,102.28,21.23,92,5.17,76
Whyalla,AU,-33.04,137.58,68,72,12.75,24
Road Town,VG,18.42,-64.62,78.28,65,9.17,40
Keti Bandar,PK,24.14,67.45,70.37,100,8.41,0
Saint-Joseph,FR,43.56,6.97,55.92,28,9.17,0
Bougouni,ML,11.42,-7.49,75.23,25,8.63,0
Tsabong,BW,-26.02,22.4,76.85,28,10.2,0
Lakhdenpokhya,RU,61.52,30.2,23.54,72,1.99,88
Phetchaburi,TH,13.1,99.94,83.42,97,17.81,0
Simao,CN,22.76,100.79,59.62,54,4.05,48
Erenhot,CN,43.65,111.97,20.56,65,9.86,0
Fairbanks,US,64.84,-147.72,22.59,100,6.73,1
Lembeni,TZ,-3.78,37.62,66.01,94,2.59,12
Madras,US,44.63,-121.13,20.19,79,6.93,90
Asifabad,IN,19.38,79.29,67.67,73,3.04,0
Mackenzie,CA,55.34,-123.09,17.6,48,10.29,1
Beruwala,LK,6.48,79.98,80.18,100,8.63,12
Ouesso,CG,1.61,16.05,75.77,91,2.71,12
Nagorsk,RU,59.32,50.8,-13.38,40,3.6,0
Jauja,PE,-11.78,-75.5,45.17,100,1.36,68
Camacupa,AO,-12.02,17.48,64.25,86,3.15,56
Itarema,BR,-2.92,-39.92,76.81,96,3.71,88
Lagoa,PT,37.14,-8.45,57.4,93,10.29,75
Stromness,CA,42.87,-79.55,15.82,61,14.99,40
Buraydah,SA,26.33,43.97,55.4,47,9.17,0
Lusaka,ZM,-15.42,28.28,67.13,73,4.38,0
Tanout,NE,14.97,8.88,75.32,16,12.33,12
Severo-Kurilsk,RU,50.68,156.12,22.18,100,9.64,48
Ailigandi,PA,9.23,-78.02,86.71,56,8.63,8
Isangel,VU,-19.55,169.27,82.4,83,6.29,20
Sao Joao da Barra,BR,-21.64,-41.05,82.4,74,13.87,20
Kilindoni,TZ,-7.91,39.67,85,100,8.63,64
Sisimiut,GL,66.94,-53.67,3.68,78,3.04,8
Santa Maria,BR,-29.69,-53.81,93.2,46,6.93,20
Ziro,IN,27.54,93.82,45.53,98,1.59,92
Terre-de-Bas,GP,15.85,-61.64,80.04,69,18.34,92
Sayyan,YE,15.17,44.32,49,85,1.7,56
Luderitz,NA,-26.65,15.16,66.55,70,23.06,0
Leeton,AU,-34.55,146.4,73.83,57,10.29,90
Hirara,JP,24.8,125.28,67.27,100,13,32
Buala,SB,-8.15,159.59,82.88,90,3.83,56
Strezhevoy,RU,60.73,77.6,23,85,6.71,90
Sabla,NG,12.75,4.71,77.71,38,5.39,0
Paramonga,PE,-10.68,-77.82,74.83,98,6.96,24
Innisfail,CA,52.02,-113.95,14.88,47,6.93,5
Saint-Georges,CA,46.12,-70.67,24.33,75,5.99,76
Sechura,PE,-5.56,-80.82,82.12,67,13.22,0
Jackville,CI,5.21,-4.42,84.2,79,9.17,20
Sabaudia,IT,41.3,13.03,51.17,81,18.34,20
Careiro da Varzea,BR,-3.2,-59.81,86.05,79,3.36,40
Skerries,IE,53.58,-6.11,39.47,100,13.87,75
Geraldton,CA,49.72,-86.95,5,54,10.29,90
Port Keats,AU,-14.25,129.55,79.82,94,10.65,12
Kununurra,AU,-15.77,128.74,75.2,88,2.24,0
Price,US,39.6,-110.81,37.27,59,6.93,1
Kudahuvadhoo,MV,2.67,72.89,83.42,97,9.31,64
Tornabe,HN,15.79,-87.52,89.2,66,2.24,20
Kaohsiung,TW,22.62,120.31,68.59,83,2.24,40
Znamenskoye,RU,57.13,73.82,17.5,81,8.97,36
Emerald,AU,-23.53,148.16,75.09,57,12.75,90
Manzhouli,CN,49.6,117.43,13.36,75,8.52,36
Jishou,CN,28.26,109.7,47.42,98,4.61,92
Makakilo City,US,21.35,-158.09,72.45,56,11.41,75
Hammerfest,NO,70.66,23.68,16.14,72,23.04,75
Wanaka,NZ,-44.7,169.14,64.88,62,4.72,0
Port Said,EG,25.34,30.55,50.3,41,5.17,0
Komsomolets,RU,52.77,41.29,32.98,94,9.08,92
Ust-Nera,RU,64.57,143.24,-40.65,0,1.92,12
Casablanca,MA,33.6,-7.62,57,93,4.7,0
Miri,NG,10.31,9.75,72.49,58,3.27,12
Stokmarknes,NO,68.56,14.91,18.21,67,14.99,20
Tiarei,PF,-17.53,-149.33,87.4,62,8.05,20
Mayo,CA,63.59,-135.9,5,50,3.36,20
Corrales,CO,5.83,-72.84,57.5,88,2.37,92
Ninotsminda,GE,41.27,43.59,26.6,86,2.24,40
Lamar,US,38.09,-102.62,17.8,57,5.82,1
Malmesbury,GB,51.58,-2.1,39.22,86,12.75,40
Los Andes,CL,-32.83,-70.6,79.39,31,16.11,0
ChengDe,CN,40.97,117.93,26.45,78,2.59,8
Ihosy,MG,-22.4,46.13,64.21,96,1.36,44
Vanimo,PG,-2.67,141.3,82.21,100,12.77,64
Schagen,NL,52.79,4.8,45.99,81,20.8,75
Voineasa,RO,45.42,23.96,37.42,74,2.24,0
Slobodskoy,RU,58.73,50.18,-11.13,53,2.93,0
Roald,NO,62.58,6.12,29.95,69,29.97,40
Penzance,GB,50.12,-5.53,44.76,87,16.11,75
Saldanha,PT,41.42,-6.55,44.45,73,3.15,88
Muisne,EC,0.61,-80.02,86,84,10.29,20
Lazaro Cardenas,MX,28.39,-105.62,70.88,17,16.11,5
Waitati,NZ,-45.75,170.57,69.7,78,7.4,0
Roebourne,AU,-20.77,117.15,81.49,53,8.63,20
